ACCTCY-2010:  Introduction to Accounting
AAE-8265:  Agricultural and Food Policy
AAE-8287:  Seminar on Sustainable Development
AAE-8350:  Regional Development Issues and Analysis
AAE-8410:  Natural Resource and Environmental Economics
AAE-8430:  International Agricultural Development Policy
AAE-8436:  Community, Natural Resources and Sustainability
AAE-8444:  Agriculture, Food and Community
AAE-8450:  Masters Non Thesis Research
AAE-8510:  Interdisciplinary Quantitative and Mixed Research Methods
AAE-8520:  Economics of Transaction and Contracting
AAE-8610:  Economic and Sociological Approaches to Collective Action
AAE-8860:  International Comparative Rural Policy
AAE-9001:  Advanced Topics in Economics II
AAE-9040:  Advanced Microeconomics Theory and Applications I
AAE-9042:  Advanced Microeconomics Theory and Applications II
AAE-9085:  Doctoral Problems in Agricultural and Applied Economics
AAE-9090:  Doctoral Dissertation Research in Agricultural and Applied Economics
AAE-9220:  Price and Market Analysis
AAE-9230:  Welfare and Consumption Economics
AAE-9265:  Food, Agricultural and Rural Policy
AAE-9510:  Organizational Economics I
AAE-9520:  Organizational Economics II
AG_ED_LD-1000:  Orientation to Agricultural Education and Leadership
AG_ED_LD-2250:  Introduction to Leadership
AG_ED_LD-2250H:  Introduction to Leadership - Honors
AG_ED_LD-2260:  Team and Organizational Leadership
AG_ED_LD-2260H:  Team and Organizational Leadership - Honors
AG_ED_LD-2260W:  Team and Organizational Leadership - Writing Intensive
AG_ED_LD-2270:  Leadership Development in Youth Organizations
AG_ED_LD-2270H:  Leadership Development in Youth Organizations - Honors
AG_ED_LD-2271:  Early Field Experience
AG_ED_LD-3010:  Leadership in Today's World
AG_ED_LD-3010H:  Leadership in Today's World - Honors
AG_ED_LD-3085:  Problems in Agricultural Education and Leadership
AG_ED_LD-3320:  Metal Fabrication and Laboratory Management
AG_ED_LD-3776:  Litton Leadership Scholars
AG_ED_LD-4001:  Topics in Agricultural Education and Leadership
AG_ED_LD-4087:  Internship Seminar in Agricultural Education and Leadership
AG_ED_LD-4240:  Leading Organizational and Community Change
AG_ED_LD-4240H:  Leading Organizational and Community Change - Honors
AG_ED_LD-4310:  Intracurricular Program Management in Agricultural Education
AG_ED_LD-4320:  Methods of Teaching I
AG_ED_LD-4321:  Field Experience I
AG_ED_LD-4330:  Methods of Teaching II
AG_ED_LD-4331:  Field Experience II
AG_ED_LD-4340:  Designing and Delivering Educational/Leadership Programs
AG_ED_LD-4340H:  Designing and Delivering Educational/Leadership Programs - Honors
AG_ED_LD-4945:  Experiential Learning in Industry Internship in Agricultural Education and Leadership
AG_ED_LD-4993:  Internship in Agricultural Education and Leadership
AG_ED_LD-4995:  Student Teaching Internship in Agriculture
AG_ED_LD-4995H:  Student Teaching Internship in Agriculture - Honors
AG_ED_LD-7087:  Internship Seminar in Agricultural Education and Leadership
AG_ED_LD-7240:  Leading Organizational and Community Change
AG_ED_LD-7310:  Intracurricular Program Management in Agricultural Education
AG_ED_LD-7320:  Methods of Teaching I
AG_ED_LD-7330:  Methods of Teaching II
AG_ED_LD-7340:  Designing and Delivering Educational/Leadership Programs
AG_ED_LD-7350:  Inservice Course in Agricultural Education and Leadership
AG_ED_LD-8080:  Creative Component in Agricultural Education and Leadership
AG_ED_LD-8085:  Problems in Agricultural Education and Leadership
AG_ED_LD-8087:  Seminar in Agricultural Education and Leadership
AG_ED_LD-8090:  Thesis Research in Agricultural Education and Leadership
AG_ED_LD-8210:  History and Leadership of the Land Grant University
AG_ED_LD-8250:  Leadership Theory and Application
AG_ED_LD-8330:  Advanced Methods of Teaching
AG_ED_LD-8340:  Student and Teacher Development in Agricultural Education and Leadership
AG_ED_LD-8350:  College Teaching of Agriculture, Food and Natural Resources
AG_ED_LD-8351:  Induction Year Teaching I
AG_ED_LD-8352:  Induction Year Teaching II
AG_ED_LD-8410:  Philosophical Foundations of Agricultural Education and Leadership
AG_ED_LD-8430:  Evaluation of Educational Programs
AG_ED_LD-8510:  Research Methods and Design
AG_ED_LD-8530:  Grant Proposal Writing
AG_ED_LD-8540:  Methods of Qualitative Research
AG_ED_LD-8995:  College Teaching Practicum
AG_ED_LD-9090:  Doctoral Research in Agricultural Education and Leadership
AG_ED_LD-9410:  Foundations and Practices of Teacher Education
AG_ED_LD-9510:  Data Collection, Analysis and Interpretation
AG_ED_LD-9540:  Advanced Qualitative Research: A Comparison of Phenomenological Approaches
AGSC_COM-1160:  Foundations of Agricultural Science Communications
AGSC_COM-2150:  Problems in Science and Agricultural Journalism
AGSC_COM-2210:  Communicating Science to the Public
AGSC_COM-2220:  Verbal Communication in Agriculture, Food and Natural Resources
AGSC_COM-2220H:  Verbal Communication in Agriculture, Food and Natural Resources - Honors
AGSC_COM-2225:  Science, Technology and Society
AGSC_COM-2225W:  Science, Technology and Society - Writing Intensive
AGSC_COM-3201:  Topics in Science and Agricultural Journalism
AGSC_COM-3210:  Fundamentals of Communications
AGSC_COM-3210W:  Fundamentals of Communications - Writing Intensive
AGSC_COM-3240:  Communicating on the Web
AGSC_COM-3385:  Problems in Science and Agricultural Journalism
AGSC_COM-4301:  Topics in Science and Agricultural Journalism
AGSC_COM-4301HW:  Topics in Science and Agricultural Journalism - Honors/Writing Intensive
AGSC_COM-4301W:  Topics in Science and Agricultural Journalism - Writing Intensive
AGSC_COM-4410:  Readings in Science and Agricultural Journalism
AGSC_COM-4414:  Field Reporting on the Food System and Environment
AGSC_COM-4415:  Current Issues in Science Journalism
AGSC_COM-4480:  Will Write for Food (and Wine)
AGSC_COM-4480W:  Will Write for Food (and Wine) - Writing Intensive
AGSC_COM-4482:  Field Reporting: Wine Country Writing
AGSC_COM-4482W:  Field Reporting: Wine Country Writing - Writing Intensive
AGSC_COM-4940:  Internships in Science and Agricultural Journalism
AGSC_COM-4945:  Experiential Learning in Industry Internship in Agricultural Science Communications
AGSC_COM-4970:  Agriculture and the Media Senior Seminar Capstone
AGSC_COM-7301:  Topics in Science and Agricultural Journalism
AGSC_COM-7414:  Field Reporting on the Food System and Environment
AG_S_TCH-1020:  Introduction to Agricultural Systems Technology
AG_S_TCH-1040:  Physical Principles for Agricultural Applications
AG_S_TCH-2199:  Seminar in Professional Development
AG_S_TCH-2220:  Agricultural/Industrial Facility Systems
AG_S_TCH-2340:  Pesticide Application Equipment
AG_S_TCH-2360:  Fluid Power
AG_S_TCH-3007:  Topics in Agricultural Systems Technology-Physical
AG_S_TCH-3225:  Sensors and Control for Agricultural Systems
AG_S_TCH-4140:  Electricity: Wiring and Equipment
AG_S_TCH-4160:  Internet of Things for Agricultural Technology
AG_S_TCH-4220:  Material Handling and Conditioning
AG_S_TCH-4320:  Agricultural Equipment and Machinery
AG_S_TCH-4350:  Problems in Agricultural Systems Technology
AG_S_TCH-4360:  Precision Agriculture Science and Technology
AG_S_TCH-4365:  Machinery Management Using Precision Agriculture Technology
AG_S_TCH-4366:  Data Management and Analysis Using Precision Agriculture Technology
AG_S_TCH-4368:  Profit Strategies Using Precision Agriculture Technology
AG_S_TCH-4370:  In-Service Course Agriculture System Technology
AG_S_TCH-4390:  Optimization and Management of Food and Agricultural Systems
AG_S_TCH-4420:  Surface Water Management
AG_S_TCH-4460:  Irrigation and Drainage
AG_S_TCH-4940:  Agricultural Systems Technology Internship
AG_S_TCH-4945:  Experiential Learning in Industry Internship in Agricultural Systems Technology
AG_S_TCH-7001:  Topics in Agricultural Systems Technology
AG_S_TCH-7020:  Agricultural Safety and Health
AG_S_TCH-7085:  Problems in Agricultural Systems Technology
AG_S_TCH-7140:  Electricity: Wiring and Equipment
AG_S_TCH-7220:  Material Handling and Conditioning
AG_S_TCH-7320:  Agricultural Equipment and Machinery
AG_S_TCH-7330:  Principles for Food Processing
AG_S_TCH-7360:  Precision Agriculture Science and Technology
AG_S_TCH-7365:  Machinery Management Using Precision Agriculture Technology
AG_S_TCH-7366:  Data Management and Analysis Using Precision Agriculture Technology
AG_S_TCH-7368:  Profit Strategies Using Precision Agriculture Technology
AG_S_TCH-7370:  In-Service Course Agriculture Systems Technology
AG_S_TCH-7390:  Optimization and Management of Food and Agriculture Systems
AG_S_TCH-7420:  Surface Water Management
AG_S_TCH-7440:  Water Quality and Pollution Control
AG_S_TCH-7460:  Irrigation and Drainage
AG_S_TCH-8085:  Problems in Agricultural Systems Technology
AG_S_TCH-8090:  Thesis Research in Agricultural Systems Technology
AG_S_TCH-8340:  Agricultural Technology Systems
AG_S_TCH-8360:  Internet of Things for Precision Agriculture Technology
AG_S_TCH-9090:  Thesis Research in Agricultural Systems Technology
AFNR-1115:  Foundations for College Success
AFNR-2190:  International Agriculture and Natural Resources
AFNR-2191:  International Agriculture and Natural Resources - Humanities
AFNR-2191W:  International Agriculture and Natural Resources - Humanities - Writing Intensive
AFNR-2192:  International Agriculture/Natural Resources-Social Science
AFNR-4001:  Topics in Agriculture-General
AFNR-4945:  Experiential Learning in Industry Internship in Agriculture, Food and Natural Resources
AFNR-4993:  Internship in Agriculture, Food and Natural Resources
AMS-1005:  Undergraduate Topics in Ancient Mediterranean Studies - Humanities
AMS-1050:  Greek and Latin in English
AMS-1060:  Classical Mythology
AMS-1060H:  Classical Mythology - Honors
AMS-1060HW:  Classical Mythology - Honors/Writing Intensive
AMS-1060W:  Classical Mythology - Writing Intensive
AMS-1105:  Undergraduate Topics in Ancient Mediterranean Studies - Humanities
AMS-1140:  Ancient Cities
AMS-1150:  The Archaeology of Ancient Lives
AMS-1150H:  The Archaeology of Ancient Lives - Honors
AMS-1170:  Heroes and Monsters: Greek Myth in the Visual Arts
AMS-2005:  Topics in Ancient Mediterranean Studies - Humanities
AMS-2005H:  Topics in Classical Humanities - Honors
AMS-2030:  Ancient Egypt: From the Pharaohs to Hollywood
AMS-2050:  Comparative History of Greece and Rome I
AMS-2060:  Comparative History of Greece and Rome II
AMS-2070:  Cultural Ancestors of the Greeks and Romans: Roots and Branches of Indo-European Myth and Religion
AMS-2100:  The Ancient Greeks
AMS-2100H:  The Ancient Greeks - Honors
AMS-2200:  The Ancient Romans
AMS-2230:  Introduction to the Arts of Islam
AMS-2230W:  Introduction to the Arts of Islam - Writing Intensive
AMS-2300:  Ancient Authors: The Greeks
AMS-2300H:  Ancient Authors: The Greeks - Honors
AMS-2400:  Ancient Authors: The Romans
AMS-2400H:  Ancient Authors: The Romans - Honors
AMS-2410:  Ancient Technology
AMS-2410H:  Ancient Technology - Honors
AMS-2450:  The World of Pompeii
AMS-2450H:  The World of Pompeii - Honors
AMS-2500:  The Origins of Music in the Ancient World
AMS-2550:  Farm to Table in Ancient Greece and Rome: Small Farms and Big Business
AMS-2600:  Media and Communication in Ancient Greece and Rome
AMS-2600H:  Media and Communication in Ancient Greece and Rome - Honors
AMS-2700:  Black Dionysus: Greek Drama in Africa and the African Diaspora
AMS-2700H:  Black Dionysus: Greek Drama in Africa and the African Diaspora - Honors
AMS-2750:  Achilles in Vietnam
AMS-2750H:  Achilles in Vietnam - Honors
AMS-2800:  Sports and Spectacles in Greco-Roman Antiquity
AMS-2940:  Service Learning in Classical Studies
AMS-2950:  Archaeological Methods
AMS-3000:  Foreigners and Dangerous Women in Greek and Latin Literature
AMS-3000H:  Foreigners and Dangerous Women in Greek and Latin Literature - Honors
AMS-3000W:  Foreigners and Dangerous Women in Greek and Latin Literature - Writing Intensive
AMS-3005:  Topics in Ancient Mediterranean Studies - Humanities
AMS-3005H:  Topics in Classical Humanities - Honors
AMS-3005W:  Topics in Classical Humanities - Writing Intensive
AMS-3025:  Ancient Western Philosophy
AMS-3050H:  Philosophy Before Socrates - Honors
AMS-3100:  The Age of Pericles
AMS-3100H:  The Age of Pericles - Honors
AMS-3120:  Art and Gender in Antiquity
AMS-3150:  The Age of Augustus
AMS-3150H:  The Age of Augustus - Honors
AMS-3210:  Near Eastern and Egyptian Art and Archaeology
AMS-3225:  Roman Comedy, Wit and Humor
AMS-3225H:  Roman Comedy, Wit and Humor - Honors
AMS-3250:  Greek and Roman Epic
AMS-3250H:  Greek and Roman Epic - Honors
AMS-3250W:  Greek and Roman Epic - Writing Intensive
AMS-3300:  Greek Drama
AMS-3310:  Greek Art and Archaeology
AMS-3310H:  Greek Art and Archaeology - Honors
AMS-3350:  Advanced Mythology
AMS-3350H:  Advanced Mythology - Honors
AMS-3400:  Murder and Mayhem: Images of Justice in Classical Antiquity
AMS-3400W:  Murder and Mayhem: Images of Justice in Classical Antiquity - Writing Intensive
AMS-3410:  Roman Art and Archaeology
AMS-3450:  Greek and Roman Characters and Ideals
AMS-3450H:  Greek and Roman Characters and Ideals - Honors
AMS-3510:  Byzantine and Islamic Art and Archaeology
AMS-3510W:  Byzantine and Islamic Art and Archaeology - Writing Intensive
AMS-3520:  Early Medieval Art and Archaeology
AMS-3520W:  Early Medieval Art and Archaeology - Writing Intensive
AMS-3550:  War and Democracy in Late 5th c. BCE Athens
AMS-3600:  The Ancient Novel
AMS-3600H:  The Ancient Novel - Honors
AMS-3625:  Ancient Medicine
AMS-3650:  Paganism and Christianity
AMS-3650W:  Paganism and Christianity - Writing Intensive
AMS-3700:  Women in the Ancient World
AMS-3750:  Classics in a Cross-Cultural Context
AMS-3750H:  Classics in a Cross-Cultural Context - Honors
AMS-3775:  The Ancient World on Film
AMS-3775H:  The Ancient World on Film - Honors
AMS-3775W:  The Ancient World on Film - Writing Intensive
AMS-4005:  Topics in Classical Humanities
AMS-4100:  Greece: From the Bronze Age to the Byzantine Empire
AMS-4100H:  Greece: From the Bronze Age to the Byzantine Empire - Honors
AMS-4205:  Topics in Classical Studies
AMS-4300:  Introduction to Text Criticism and Paleography
AMS-4320:  Archaeology of the Aegean Bronze Age
AMS-4340:  Greek Cities and Sanctuaries
AMS-4350:  Greek Pottery
AMS-4360:  Greek Sculpture
AMS-4400:  Ancient Pastoral
AMS-4420:  Minor Arts of Antiquity
AMS-4440:  Roman Architecture
AMS-4460:  Roman Sculpture
AMS-4490:  Late Antique Art and Archaeology
AMS-4500:  Greek and Roman Religion
AMS-4500H:  Greek and Roman Religion - Honors
AMS-4510:  Byzantine Art and Archaeology
AMS-4520:  Art and Archaeology of Early Medieval Europe
AMS-4550:  Literature and Culture of the Hellenistic Age
AMS-4550H:  Literature and Culture of the Hellenistic Age - Honors
AMS-4600:  The Classical Tradition
AMS-4600H:  The Classical Tradition - Honors
AMS-4600HW:  The Classical Tradition - Honors/Writing Intensive
AMS-4600W:  The Classical Tradition - Writing Intensive
AMS-4650:  The World of Late Antiquity
AMS-4650H:  The World of Late Antiquity - Honors
AMS-4700:  Advanced Study in the Teaching of the Classics
AMS-4770:  Oral Tradition
AMS-4770H:  Oral Tradition - Honors
AMS-4800:  Political Thought in Classical and Christian Antiquity
AMS-4950:  Undergraduate Research in Ancient Mediterranean Studies
AMS-4960:  Special Readings in Ancient Mediterranean Studies
AMS-4970:  Capstone: Ancient Mediterranean Studies
AMS-4970H:  Capstone in Ancient Mediterranean Studies - Honors
AMS-4995H:  Honors Proseminar in Classical Studies
AMS-4996:  Honors Proseminar I
AMS-4996H:  Honors Proseminar I
AMS-4999:  Honors Reading and Research I
AMS-7000:  Introduction to Graduate Study in Classics
AMS-7005:  Topics in Ancient Mediterranean Studies
AMS-7100:  History of the Greek and Latin Languages
AMS-7205:  Topics in Classical Studies
AMS-7250:  The Classical Avant-Garde
AMS-7300:  Introduction to Text Criticism and Paleography
AMS-7320:  Archaeology of the Aegean Bronze Age
AMS-7340:  Greek Cities and Sanctuaries
AMS-7350:  Greek Pottery
AMS-7360:  Greek Sculpture
AMS-7420:  Minor Arts of Antiquity
AMS-7440:  Roman Architecture
AMS-7460:  Roman Sculpture
AMS-7490:  Late Antique Art and Archaeology
AMS-7510:  Byzantine Art and Archaeology
AMS-7520:  Art and Archaeology of Early Medieval Europe
AMS-7550:  Literature and Culture of the Hellenistic Age
AMS-7600:  The Classical Tradition
AMS-7650:  The World of Late Antiquity
AMS-7700:  Advanced Study in the Teaching of the Classics
AMS-7800:  Political Thought in Classical and Christian Antiquity
AMS-7940:  Archaeological Methods
AMS-7960:  Special Readings in Classical Studies
AMS-8010:  History, Texts, and Monuments
AMS-8080:  Readings for MA Thesis in Ancient Mediterranean Studies
AMS-8085:  Directed Readings in Ancient Mediterranean Studies
AMS-8090:  Master's Thesis Research and Thesis
AMS-8320:  Seminar in Greek Art and Archaeology
AMS-8420:  Seminar in Roman Art and Archaeology
AMS-8440:  Ancient/Medieval Topography
AMS-8490:  Seminar in Late Antique Art and Archaeology
AMS-9080:  Readings for PhD Dissertation in Ancient Mediterranean Studies
AMS-9090:  Doctoral Dissertation Research in Ancient Mediterranean Studies
AMS-9187:  Seminar in Classical Mythology
AMS-9387:  Seminar in Ancient Rhetoric and Oratory
AMS-9487:  Seminar in Ancient Literary Criticism
AMS-9587:  Greco-Roman Didactic
AMS-9887:  Seminar in the Age of the Antonines
ANESTH-6057:  Springfield Anesthesiology 4Wk
ANESTH-6203:  ABS Anesthesiology Research
ANESTH-6205:  ABS Anesthesiology Research and Review
ANESTH-6400:  Anesthesiology
ANESTH-6927:  Anesthesiology Two-Week
AN_SCI-1001:  Topics in Animal Science
AN_SCI-1002:  Topics in Animal Science- Lab
AN_SCI-1010:  Orientation to Animal Sciences
AN_SCI-1011:  Introduction to Animal Sciences
AN_SCI-1011H:  Animal Science - Honors
AN_SCI-1012:  Introduction to Captive Wild Animal Management
AN_SCI-1013:  Biotechnology in Animal Agriculture
AN_SCI-1164:  Biology of Animal Production I
AN_SCI-1165:  Biology of Animal Production I with Laboratory
AN_SCI-1165H:  Biology of Animal Production I with Laboratory - Honors
AN_SCI-1174:  Biology of Animal Production II
AN_SCI-1175:  Biology of Animal Production II with Lab
AN_SCI-1175H:  Biology of Animal Production II with Lab - Honors
AN_SCI-2001:  Topics in Animal Science
AN_SCI-2002:  Topics in Animal Science- Lab
AN_SCI-2010:  Careers in Animal Sciences
AN_SCI-2045:  Equine Practicum
AN_SCI-2085:  Problems in Animal Science
AN_SCI-2090:  Foal Training Practicum
AN_SCI-2095:  Equine Behavior and Training
AN_SCI-2110:  Global Animal Agriculture
AN_SCI-2111:  Sophomore Seminar: Societal Issues Facing Animal Agriculture
AN_SCI-2111W:  Sophomore Seminar: Societal Issues Facing Animal Agriculture - Writing Intensive
AN_SCI-2112:  Livestock and Literature
AN_SCI-2115:  Livestock Judging
AN_SCI-2116:  Animal Welfare Evaluation
AN_SCI-2131:  Dairy Products Evaluation
AN_SCI-2140:  Companion Animals
AN_SCI-2140H:  Companion Animals - Honors
AN_SCI-2146:  Introduction to Animal Behavior
AN_SCI-2187:  Introduction To Foaling
AN_SCI-2195:  Equine Facility Management and Marketing
AN_SCI-2214:  Animal Products and Biotechnology
AN_SCI-2244:  Introduction to Comparative Anatomy with Lab
AN_SCI-3001:  Topics in Animal Science
AN_SCI-3002:  Topics in Animal Science- Lab
AN_SCI-3010:  Graduate Experience Program
AN_SCI-3085:  Problems in Animal Science
AN_SCI-3085W:  Problems in Animal Science - Writing Intensive
AN_SCI-3190:  Study Abroad: International Meat, Dairy and Enology
AN_SCI-3213:  Genetics of Agricultural Plants and Animals
AN_SCI-3214:  Principles of Meat Science
AN_SCI-3231:  Principles of Dairy Foods Science
AN_SCI-3242:  Principles and Applications of Animal Nutrition
AN_SCI-3253:  Physiology of Domestic Animals- All Majors
AN_SCI-3254:  Physiology of Domestic Animals
AN_SCI-3254H:  Physiology of Domestic Animals - Honors
AN_SCI-3264:  Physiology of Domestic Animals II
AN_SCI-3270:  Forage Crops
AN_SCI-3275:  Meat Animal Evaluation
AN_SCI-4001:  Topics in Animal Science
AN_SCI-4001W:  Topics in Animal Science - Writing Intensive
AN_SCI-4010:  Pasture-Based Dairy Management
AN_SCI-4010W:  Pasture-Based Dairy Management - Writing Intensive
AN_SCI-4011:  Pasture Based Dairy Management Lab
AN_SCI-4012:  Elements of Experimental Surgery
AN_SCI-4312:  Monogastric Nutrition
AN_SCI-4314:  Physiology of Reproduction
AN_SCI-4314H:  Physiology of Reproduction - Honors
AN_SCI-4323:  Applied Livestock Genetics
AN_SCI-4323H:  Applied Livestock Genetics - Honors
AN_SCI-4324:  Genomics of Plants and Animals
AN_SCI-4332:  Ruminant Nutrition
AN_SCI-4344:  Processing Muscle Foods
AN_SCI-4354:  Physiology and Biochemistry of Muscle as Food
AN_SCI-4384:  Reproductive Management
AN_SCI-4385:  Reproductive Management Laboratory
AN_SCI-4386:  Equine Reproduction
AN_SCI-4387:  Equine Breeding Management
AN_SCI-4436:  Animal Welfare
AN_SCI-4437:  Stress Physiology
AN_SCI-4910:  Senior Seminar in Captive Wild Animal Management
AN_SCI-4940:  Internship in Animal Science & Technology
AN_SCI-4945:  Experiential Learning in Industry Internship in Animal Science
AN_SCI-4950:  Undergraduate Research in Animal Science
AN_SCI-4950H:  Undergraduate Research in Animal Science - Honors
AN_SCI-4955:  Experiential Learning in Research in Animal Science
AN_SCI-4973:  Molecular and Cellular Techniques in Animal Science
AN_SCI-4975:  Beef Production and Management
